ml_label,ingredient_name,ingredient_type,ingredient_category,portion_quantity,preparation_method,step
tokneneng_salad,chicken_egg,core,protein,5 pcs,boiled & peeled,1
tokneneng_salad,cornstarch,core,pantry_staple,2 tbsps,,1
tokneneng_salad,cornstarch,core,pantry_staple,1/3 cup,,2
tokneneng_salad,all_purpose_flour,core,pantry_staple,2 tbsps,,1
tokneneng_salad,salt_iodized,optional,seasoning,1/2 tsp,,1
tokneneng_salad,salt_iodized,optional,seasoning,1 tsp,,2
tokneneng_salad,black_pepper,optional,seasoning,1/8 tsp,ground,1
tokneneng_salad,food_coloring_orange,core,pantry_staple,1/4 tsp,powder,1
tokneneng_salad,chicken_egg,core,protein,1 pc,beaten,2
tokneneng_salad,cooking_oil,optional,pantry_staple,2 1/2 cups,,1
tokneneng_salad,onion_red,optional,produce,1/4 cup,chopped,1
tokneneng_salad,garlic,optional,produce,1 tbsp,chopped,1
tokneneng_salad,vinegar_cane,optional,seasoning,1/2 cup,,1
tokneneng_salad,sugar_brown,optional,seasoning,1 tsp,,1
tokneneng_salad,black_pepper,optional,seasoning,1/8 tsp,crushed,2
tokneneng_salad,cucumber,core,produce,3/4 cup,quarter cut,1
tokneneng_salad,lato_seaweed,core,produce,1 1/2 cups,cleaned & sliced,1
tokneneng_salad,water,optional,pantry_staple,2 tbsps,,1
kinilaw_tuna,tuna_fish,core,protein,1 1/2 cups,cubed,1
kinilaw_tuna,vinegar_white,optional,seasoning,3/4 cup,,1
kinilaw_tuna,vinegar_white,optional,seasoning,1/4 cup,,2
kinilaw_tuna,guso_seaweed,core,produce,6 cups,fresh & trimmed,1
kinilaw_tuna,onion_red,optional,produce,1/3 cup,sliced,1
kinilaw_tuna,tomato,optional,produce,1/2 cup,chopped,1
kinilaw_tuna,ginger,optional,produce,1/3 cup,chopped,1
kinilaw_tuna,calamansi_juice,optional,seasoning,1/4 cup,freshly squeezed,1
kinilaw_tuna,salt_iodized,optional,seasoning,3/4 tsp,,1
kinilaw_tuna,black_pepper,optional,seasoning,1/2 tsp,ground,1
kinilaw_tuna,water,optional,pantry_staple,2 cups,,1
tinapa_ginisa,cooking_oil,optional,pantry_staple,2 tbsps,,1
tinapa_ginisa,onion_bombay,optional,produce,1 tbsp,chopped,1
tinapa_ginisa,garlic,optional,produce,1 tbsp,chopped,1
tinapa_ginisa,tinapa_fish,core,protein,2 1/2 cups,smoked & flaked,1
tinapa_ginisa,mixed_vegetables,core,produce,5 cups,talong & okra & kalabasa & sitaw,1
tinapa_ginisa,water,optional,pantry_staple,2 cups,,1
tinapa_ginisa,black_pepper,optional,seasoning,1/8 tsp,ground,1
egg_ampalaya,cooking_oil,optional,pantry_staple,2 tbsps,,1
egg_ampalaya,onion_bombay,optional,produce,1 tbsp,chopped,1
egg_ampalaya,garlic,optional,produce,1 tbsp,chopped,1
egg_ampalaya,tomato,optional,produce,1/2 cup,chopped,1
egg_ampalaya,ampalaya,core,produce,4 cups,sliced,1
egg_ampalaya,malunggay_leaves,optional,produce,1 cup,,1
egg_ampalaya,salt_iodized,optional,seasoning,1 tsp,,1
egg_ampalaya,black_pepper,optional,seasoning,1/8 tsp,ground,1
egg_ampalaya,chicken_egg,core,protein,10 pcs,beaten,1
sinigang_pork,cooking_oil,optional,pantry_staple,1/2 cup,,1
sinigang_pork,onion_white,optional,produce,1/4 cup,sliced,1
sinigang_pork,tomato_red,optional,produce,2 1/2 cups,sliced,1
sinigang_pork,pork_liempo,core,protein,4 cups,lean & sliced,1
sinigang_pork,water,optional,pantry_staple,6 cups,,1
sinigang_pork,gabi,optional,produce,2 cups,cubed,1
sinigang_pork,sitaw,optional,produce,3 cups,sliced,1
sinigang_pork,sinigang_mix,core,seasoning,1 pack,44 gram,1
sinigang_pork,patis,optional,seasoning,2 tbsps,,1
sinigang_pork,salt_iodized,optional,seasoning,1 tbsp,,1
sinigang_pork,kangkong_leaves,optional,produce,17 1/2 cups,stem & sliced,1
menudo,cooking_oil,optional,pantry_staple,1/3 cup,,1
menudo,garlic,optional,produce,2 tbsps,chopped,1
menudo,onion_white,optional,produce,1/4 cup,chopped,1
menudo,pork_liempo,core,protein,4 cups,lean & ground,1
menudo,salt_iodized,optional,seasoning,1 tbsp,,1
menudo,black_pepper,optional,seasoning,1/8 tsp,ground,1
menudo,water,optional,pantry_staple,1 cup,,1
menudo,tomato_sauce,core,pantry_staple,2 packs,,1
menudo,potato,core,produce,3 1/2 cups,cubed,1
menudo,bell_pepper_red,core,produce,1/3 cup,strips,1
menudo,sugar_white,optional,seasoning,2 tbsps,,1
menudo,green_peas,core,produce,2 1/2 cups,frozen,1
menudo,raisins,optional,pantry_staple,1 pack,50 gram,1
udong,cooking_oil,optional,pantry_staple,1/3 cup,,1
udong,garlic,optional,produce,2 tbsps,chopped,1
udong,onion_bombay,optional,produce,1/4 cup,chopped,1
udong,upo,optional,produce,3 cups,sliced,1
udong,water,optional,pantry_staple,1 1/4 cups,,1
udong,salt_iodized,optional,seasoning,1 tsp,,1
udong,black_pepper,optional,seasoning,1/4 tsp,ground,1
udong,odong_noodles,core,pantry_staple,8 packs,10 gram per pack,1
udong,sardines_tomato_sauce_canned,core,protein,6 cans,155 gram per can,1
udong,kamote_tops_green,optional,produce,6 cups,,1
pesang_bangus,cooking_oil,optional,pantry_staple,1/8 cup,,1
pesang_bangus,ginger,optional,produce,1/8 cup,strips,1
pesang_bangus,garlic,optional,produce,1 1/2 tbsps,crushed & chopped,1
pesang_bangus,onion_bombay,optional,produce,1/8 cup,chopped,1
pesang_bangus,water,optional,pantry_staple,3 cups,,1
pesang_bangus,salt_iodized,optional,seasoning,1/2 tsp,refined,1
pesang_bangus,sayote,core,produce,2 1/4 cups,sliced,1
pesang_bangus,bangus_fish,core,protein,3/4 kilo or 5 pcs small sized,boneless & sliced,1
pesang_bangus,pechay,core,produce,5 1/2 cups,sliced,1
galunggong_grilled,galunggong_fish,core,protein,10 pcs,whole,1
galunggong_grilled,salt_iodized,optional,seasoning,1 tsp,,1
tilapya_fried,tilapya_fish,core,protein,1 kilo or 5 pcs small size,whole,1
tilapya_fried,salt_iodized,optional,seasoning,1/4 tbsp,refined,1
tilapya_fried,cooking_oil,optional,pantry_staple,1 cup,,1
pinakbet,cooking_oil,optional,pantry_staple,3 tbsps,,1
pinakbet,garlic,optional,produce,3 tbsps,crushed & chopped,1
pinakbet,onion_bombay,optional,produce,3 tbsps,chopped,1
pinakbet,tomato,optional,produce,1/2 cup + 1/8 cup,chopped,1
pinakbet,alamang_bagoong,core,seasoning,1/8 cup,,1
pinakbet,squash,core,produce,2 1/2 cups,cubed,1
pinakbet,water,optional,pantry_staple,1 cup,,1
pinakbet,okra,core,produce,1 1/2 cups,sliced,1
pinakbet,sitaw,core,produce,2 cups,"cut into 1""",1
pinakbet,eggplant,core,produce,2 cups,sliced,1
chopseuy,cooking_oil,optional,pantry_staple,3 tbsps,,1
chopseuy,garlic,optional,produce,3 tbsps,crushed & chopped,1
chopseuy,onion_bombay,optional,produce,3 tbsps,chopped,1
chopseuy,chicken_breast,core,protein,3 cups,fillet & strips,1
chopseuy,soy_sauce,optional,seasoning,1/3 cup,,1
chopseuy,salt_iodized,optional,seasoning,1 tsp,,1
chopseuy,black_pepper,optional,seasoning,1/4 tsp,ground,1
chopseuy,sugar_white,optional,seasoning,2 tbsps,,1
chopseuy,cauliflower,core,produce,3 cups,sliced,1
chopseuy,carrot,core,produce,2 cups,sliced,1
chopseuy,baguio_beans,core,produce,2 cups,sliced,1
chopseuy,bell_pepper_red,optional,produce,1/2 cup,strips,1
chopseuy,water,optional,pantry_staple,1/2 cup,,1
chicken_tinola,cooking_oil,optional,pantry_staple,3 tbsps,,1
chicken_tinola,ginger,optional,produce,1/4 cup,crushed,1
chicken_tinola,onion_bombay,optional,produce,3 tbsps,chopped,1
chicken_tinola,garlic,optional,produce,3 tbsps,crushed & chopped,1
chicken_tinola,chicken_breast,core,protein,3 cups,fillet & sliced,1
chicken_tinola,salt_iodized,optional,seasoning,2 tsps,,1
chicken_tinola,papaya_green,core,produce,3 1/4 cups,unripe & sliced,1
chicken_tinola,water,optional,pantry_staple,5 cups,,1
chicken_tinola,malunggay_leaves,core,produce,3 cups,,1
sinuglaw_pork,pork_tenderloin,core,protein,5 slices,90 gram per slice,1
sinuglaw_pork,cooking_oil,optional,pantry_staple,1 tbsps,,1
sinuglaw_pork,calamansi_juice,core,seasoning,2 tbsps,,1
sinuglaw_pork,garlic,core,produce,1 tbsps,grated,1
sinuglaw_pork,thyme,optional,seasoning,1 tsp,,1
sinuglaw_pork,salt_iodized,optional,seasoning,1/2 tsp,,1
sinuglaw_pork,black_pepper,optional,seasoning,1/4 tsp,ground,1
sinuglaw_pork,mango_unripe,optional,produce,1 3/4 cups,unripe & strips,1
sinuglaw_pork,cucumber,core,produce,1 1/3 cups,sliced into thin quarters,1
sinuglaw_pork,calamansi_juice,core,seasoning,2 tbsps,freshly squeezed,2
sinuglaw_pork,salt_iodized,optional,seasoning,1/2 tsp,,2
sinuglaw_pork,pansit-pansitan,optional,produce,1/2 cup,blanched,1
