ml_label,name_en,name_ph,category,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,polyunsaturated_fat_g,monounsaturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,calcium_mg,iron_mg,data_source
kwekwek,Kwek-kwek,Kwek-kwek,Street Food,196.8,6.8,15.8,11.8,1.2,1.1,3.1,2.8,4.6,0,172,488,145,224,2.8,96,8.7,DOST_FNRI_MENU_GUIDE
kinilaw_tuna,Tuna Ceviche,Kinilaw na Tuna,Fish,76.5,9.95,6.4,1.25,0.3,1.1,0.2,0.4,0.3,0,14.5,192.5,244,80.5,4.2,183.75,0.78,DOST_FNRI_MENU_GUIDE
tinapa_ginisa,Sauteed Smoked Fish,Ginisang Tinapa,Fish,151,6.97,22.1,3.87,2.4,3.1,0.85,1.15,1.6,0,28.5,345,215,108,11,64.67,1.2,DOST_FNRI_MENU_GUIDE
egg_ampalaya,Ampalaya with Egg,Ginisang Ampalaya na may Itlog,Vegetable Dish,264.2,9.26,35.74,9.37,2.1,1.8,2.6,1.4,3.8,0,195,245,285,206.3,23.7,78.9,2.58,DOST_FNRI_MENU_GUIDE
sinigang_pork,Sour Pork Stew,Sinigang na Baboy,Soup,159.51,4.85,3.59,14.02,1.05,0.44,4.76,2.1,6.46,0,20.45,467.43,191.41,43.82,7.6,24.25,1.08,DOST_FNRI_MENU_GUIDE
menudo,Menudo,Menudo,Main Dish,450.4,14,22.8,33.6,3.2,8.4,10.2,4.1,15.8,0,48,465,412,128,16.8,49.6,2.4,DOST_FNRI_MENU_GUIDE
udong,Udong,Udong,Noodles,256.06,8.36,31.94,10.55,2.12,1.85,2.4,3.2,4.15,0,24.2,485,315,40.61,4.85,123.94,0.97,DOST_FNRI_MENU_GUIDE
sinabawang_bangus,Bangus Soup,Sinabawang Bangus,Soup,72.88,6.98,1.73,4.24,0.64,0.45,1.12,0.88,1.95,0,22.71,165.42,218.3,75.59,9.83,42.71,1.02,DOST_FNRI_MENU_GUIDE
galunggong_grilled,Grilled Galunggong,Inihaw na Galunggong,Fish,155.56,31.67,0,3.22,0,0,0.82,0.94,1.1,0,72.22,485,420,97.78,0,95.56,1.78,DOST_FNRI_MENU_GUIDE
tilapia_fried,Fried Tilapia,Pritong Tilapia,Fish,137.8,16.6,0,7.9,0,0,1.4,2.1,3.8,0,43,215,282,61.5,0,68.1,0.7,DOST_FNRI_MENU_GUIDE
pinakbet,Pinakbet,Pinakbet,Vegetable Dish,92,2.4,8.3,5.5,2.1,3.2,0.8,1.4,3.1,0,12,415,285,90.3,18.9,94.3,1,DOST_FNRI_MENU_GUIDE
chopseuy,Chopsuey,Chopsuey,Vegetable Dish,146.8,12.9,9.4,6.4,1.8,2.6,0.9,1.7,3.2,0,34,585,292,432,25.2,60,1.8,DOST_FNRI_MENU_GUIDE
chicken_tinola,Chicken Stew,Tinolang Manok,Soup,73.7,7.4,2.4,3.8,0.8,0.5,0.9,1.1,1.5,0,18.1,455,188,47.1,12.1,34.5,0.6,DOST_FNRI_MENU_GUIDE
