age_min,age_max,gender,weight_kg,calories_kcal,protein_g,total_fat_g,carbs_g,fiber_g,sugar_g,saturated_fat_g,polyunsaturated_fat_g,monounsaturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,potassium_mg,vitamin_a_mcg,vitamin_c_mg,calcium_mg,iron_mg
13,15,male,48.5,2700,62,90,533,20,,,,,,,2000,2000,700,1000,1000,45
16,18,male,59,3010,72,100,594,23,,,,,,,2000,2000,800,1000,1000,45
19,29,male,60.5,2530,71,84,474,25,,,,,,,2000,3510,700,1000,3000,45
30,49,male,60.5,2420,71,81,454,25,,,,,,,2000,3510,700,1000,3000,45
50,59,male,60.5,2420,71,81,454,25,,,,,,,2000,3510,700,1000,3000,45
60,69,male,60.5,2140,71,71,401,25,,,,,,,2000,3510,700,1000,3000,45
70,999,male,60.5,1960,71,65,368,25,,,,,,,2000,3510,700,1000,3000,45
,,,,,,,,,,,,,,,,,,,,
13,15,female,46,2170,57,72,429,20,,,,,,,2000,2000,500,1000,1000,45
16,18,female,51.5,2280,61,76,450,23,,,,,,,2000,2000,600,1000,1000,45
19,29,female,52.5,1930,62,64,362,25,,,,,,,2000,3510,600,1000,3000,45
30,49,female,52.5,1870,62,62,351,25,,,,,,,2000,3510,600,1000,3000,45
50,59,female,52.5,1870,62,62,351,25,,,,,,,2000,3510,600,1000,3000,45
60,69,female,52.5,1610,62,54,302,25,,,,,,,2000,3510,600,1000,3000,45
70,999,female,52.5,1540,62,51,289,25,,,,,,,2000,3510,600,1000,3000,45
